android-apktool-bin 2.12.1-1
apk-mitm 1.3.0-1
appmenu-glib-translator-git 24.05.r3.g89767e3-1
arduino-ide-bin 2.3.7-1
aylurs-gtk-shell 3.1.0-1
bambustudio-bin 02.05.00.67-1
bb 1.3rc1-16
betterdiscord-installer 1.3.0-1
bibata-cursor-theme-bin 2.0.7-1
brave-bin 1:1.87.190-1
burpsuite 2026.2.1-1
chaotic-mirrorlist 20240306-1
claude-code 2.1.49-1
coolercontrol-bin 3.1.1-1
coolercontrold-bin 3.1.1-1
davinci-resolve 20.3.1-2
dex2jar 2.4.34-1
droidcam 1:2.1.4-1
electron40-bin 40.5.0-1
evhz-git r30.b59b2d7-1
faudio 26.02-1
freeimage 3.18.0-23
ghidra-git-bin 11.4-7
goodvibes 0.8.3-1
gtk2 2.24.33-5
hyprdvd 0.5.1-2
hyprland-protocols-git 0.7.0.r1.g3f3860b-1
hytale-launcher-bin 2026.02.19-1
i2c-ch341-dkms 20210501-1
i3lock-color 2.13.c.5-3
iwdgui 0.3.0-3
jdownloader2 latest-22
kinit 5.116.0-1
labymod-appimage 2.1.10-2
libastal-4-git r853.5baeb66-1
libastal-apps-git r786.ca3190d-2
libastal-auth-git r667.37f0d24-1
libastal-battery-git r786.ca3190d-2
libastal-bluetooth-git r786.ca3190d-2
libastal-cava-git r667.37f0d24-1
libastal-git r853.5baeb66-1
libastal-greetd-git r786.ca3190d-2
libastal-hyprland-git r786.ca3190d-2
libastal-io-git r786.ca3190d-2
libastal-meta 1-8
libastal-mpris-git r786.ca3190d-2
libastal-network-git r786.ca3190d-2
libastal-notifd-git r786.ca3190d-2
libastal-powerprofiles-git r786.ca3190d-2
libastal-river-git r667.37f0d24-1
libastal-tray-git r786.ca3190d-2
libastal-wireplumber-git r778.7d28889-1
libcava 0.10.7-1
libpng12 1.2.59-2
mangohud-git 0.8.1.r77.g7edd28c-1
minecraft-launcher 1:2.1.3-3
modrinth-app-bin 0.10.29-1
mousetrap 3.0.5-1
mullvad-vpn-bin 2025.14-1
multimc-bin 1.6-3
nbtexplorer-bin 2.8.0-3
neofetch 7.1.0-2
networkmanager-dmenu-git r201.6ad647e-1
nvibrant-bin 1.1.0-1
oneko 1.2.5-6
openrgb-bin 0.9-3
openrgb-plugin-effects-git 0.9.80.g9e2b37e-1
pacseek 1.8.6-1
paru-bin 2.1.0-1
physlock 13-5
plymouth-theme-archlinux 1.1-1
protonup-qt 2.15.0-1
python-imageio-ffmpeg 0.6.0-2
python-inputs 0.5-4
python-screeninfo 0.8.1-2
python-steam 1.6.1-1
qt5-webchannel 5.15.18+kde+r3-1
qt5-webengine 5.15.19-4
qt5-websockets 5.15.18+kde+r2-1
r2modman-bin 3.2.14-1
rofi-greenclip 4.3-1
safe-rm 1.1.0-3
sdkmanager 0.6.11-1
sherlock-launcher-bin 0.1.14-3
simple-mtpfs 0.4.0-1
source2viewer-bin 18.0-1
spicetify-cli 2.42.10-1
tdrop-git 0.5.0.r17.ge7d0cc9-1
teamspeak 6.0.0beta3.4-1
ttf-joypixels 10.0.0-2
ttf-maple 7.0-1
ttf-symbola 14.00-2
vesktop-bin 1.6.5-1
waypaper 2.7-1
wlogout 1.2.2-0
xautolock 2.2-8
xidlehook 0.10.0-1
xqp 0.1-2
xwaylandvideobridge 0.4.0-3
yay 12.5.7-1
yofi 0.2.2-1
