7zip 25.01-1
a52dec 0.8.0-2
aalib 1.4rc5-19
abseil-cpp 20250814.1-1
accountsservice 23.13.9-2
acl 2.3.2-1
ada 3.3.0-1
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-2
adw-gtk-theme 6.4-1
adw-gtk3 5.3-2
adwaita-cursors 49.0-1
adwaita-fonts 49.0-2
adwaita-icon-theme 49.0-1
adwaita-icon-theme-legacy 46.2-3
aircrack-ng 1.7-5
alacritty 0.16.1-1
alembic 1.8.10-2
allegro 5.2.11.2-1
alsa-card-profiles 1:1.4.9-2
alsa-lib 1.2.15.1-1
alsa-plugins 1:1.2.12-5
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.15.1-1
alsa-utils 1.2.15.1-1
amd-ucode 20251125-2
android-apktool-bin 2.12.1-1
android-sdk-build-tools r36.1-2
android-tools 35.0.2-23
android-udev 20250525-1
ansible 13.2.0-1
ansible-core 2.20.1-1
aom 3.13.1-2
apk-mitm 1.3.0-1
apparmor 4.1.2-1
appmenu-glib-translator-git 24.05.r3.g89767e3-1
appmenu-gtk-module 25.04-2
appstream 1.1.1-1
appstream-glib 0.8.3-3
appstream-qt 1.1.1-1
apr 1.7.6-1
apr-util 1.6.3-2
aquamarine 0.10.0-2
aquamarine-git-debug 0.2.0_r163.g339337c-1
arch-install-scripts 31-1
archlinux-keyring 20260107-1
arduino-ide-bin 2.3.7-1
argon2 20190702-6
aribb24 1.0.3-4
arj 3.10.22-14
asciidoc 10.2.1-2
asciidoctor 2.0.26-1
asciiquarium 1.1-7
aspnet-runtime 10.0.0.sdk100-1
at-spi2-core 2.58.2-1
atkmm 2.28.4-1
attica 6.21.0-1
attr 2.5.2-1
aubio 0.4.9-23
audacity 1:3.7.7-1
audiofile 0.3.6-11
audit 4.1.2-1
aurorae 6.5.4-1
autoconf 2.72-1
autoconf-archive 1:2024.10.16-3
automake 1.18.1-1
autorandr 1.15-1
avahi 1:0.9rc2-1
ayatana-ido 0.10.4-1
aylurs-gtk-shell 3.1.0-1
babl 0.1.118-1
baloo 6.21.0-1
baloo-widgets 25.12.0-1
bambustudio-bin 02.04.00.70-1
base 3-2
base-devel 1-2
bash 5.3.9-1
bash-completion 2.17.0-2
bash-language-server 5.6.0-1
bat 0.26.1-1
bb 1.3rc1-16
bc 1.08.2-1
bcg729 1.1.1-2
bettercap 2.41.5-1
betterdiscord-installer 1.3.0-1
betterdiscord-installer-debug 1.3.0-1
bibata-cursor-theme-bin 2.0.7-1
bind 9.20.17-1
binutils 2.45.1-1
binwalk 3.1.0-1
bison 3.8.2-8
bitwarden 2025.10.0-1
blas 3.12.1-2
blender 17:5.0.1-1
blosc 1.21.6-2
blueman 2.4.6-1
blueprint-compiler 0.18.0-1
bluez 5.85-1
bluez-libs 5.85-1
bluez-utils 5.85-1
boost-libs 1.89.0-3
botan 3.10.0-1
botan2 2.19.5-2
box2d 3.1.1-1
brave-bin 1:1.85.120-1
breeze 6.5.4-1
breeze-icons 6.21.0-1
breezy 3.3.17-1
bridge-utils 1.7.1-3
brightnessctl 0.5.1-3
brltty 6.8-5
brotli 1.1.0-3
bspwm 0.9.12-1
btop 1.4.6-1
btrfs-progs 6.17.1-1
bubblewrap 0.11.0-1
burpsuite 2025.12.2-1
bzip2 1.0.8-6
c-ares 1.34.6-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.119.1-1
ca-certificates-utils 20240618-1
cabextract 1.11-2
cairo 1.18.4-1
cairomm 1.14.5-1
cairomm-1.16 1.18.0-2
cantarell-fonts 1:0.311-1
capstone 5.0.6-1
cblas 3.12.1-2
ccache 4.12.2-1
cdparanoia 10.2-9
cfitsio 1:4.6.3-1
chaotic-mirrorlist 20240306-1
chromaprint 1.6.0-2
cifs-utils 7.4-1
clang 21.1.6-1
claude-code 2.1.1-1
cliphist 1:0.7.0-1
clipmenu 6.2.0-3
clipnotify 1.0.2-3
clucene 2.3.3.4-16
cmake 4.2.1-1
cmocka 1.1.8-1
coin 1:4.0.6-1
